constituency,name,prdjf_obs,prdjf_proj,prjja_obs,prjja_proj,rx5day_obs,rx5day_proj,txx_obs,txx_proj,t_obs,t_proj
E14001063,Aldershot,-5.2747726,9.416067,-9.424043,-1.563246,0.0945437,0.98889697,1.6315746,0.9075241,0.98767567,0.75884056
E14001064,Aldridge-Brownhills,-0.31852183,8.905696,5.521495,-4.604797,5.5278497,-1.0286521,1.4931965,0.8811493,0.7771673,0.75121593
E14001065,Altrincham and Sale West,8.843328,5.392312,4.173727,-4.827185,-4.8655095,1.1074542,1.3315754,0.7885399,0.73237133,0.7458124
E14001066,Amber Valley,-3.9047472,7.4330554,10.742209,-4.0876684,1.5948759,0.10457093,1.7239895,0.83734703,0.9510937,0.7576361
E14001067,Arundel and South Downs,11.98743,8.96733,3.518848,-1.0610839,4.163788,2.3065896,1.5415221,0.94688934,0.9803025,0.7597862
E14001068,Ashfield,-3.697306,7.78358,11.051142,-3.9297063,1.3975743,0.13141418,1.8278313,0.84394646,0.99887466,0.7572489
E14001069,Ashford,9.228283,10.284359,4.9687753,-0.7118397,-10.722281,4.2602262,1.97194,0.8897028,1.0353317,0.75254583
E14001070,Ashton-under-Lyne,13.792019,5.730605,7.545823,-5.013533,2.8044434,-0.51169723,1.5828114,0.71780396,0.8307123,0.74478006
E14001071,Aylesbury,8.839821,8.981866,2.3746207,-2.7215238,4.0449324,1.1853088,1.8748035,0.90148544,1.1298695,0.7535744
E14001072,Banbury,10.178041,8.669015,3.2309074,-2.714951,4.6518526,-0.61837375,2.055697,0.9050499,1.0627855,0.75387305
E14001073,Barking,0.3380348,10.147084,-0.7710945,-1.814194,-4.381457,3.3255205,2.4181328,0.90006065,1.0286427,0.75687695
E14001074,Barnsley North,-4.638998,8.567587,9.62153,-2.4312837,3.805631,0.04303053,1.9609375,0.7752247,0.9554224,0.7517414
E14001075,Barnsley South,-4.638998,8.567587,9.62153,-2.4312837,3.805631,0.04303053,1.9609375,0.7752247,0.9554224,0.7517414
E14001076,Barrow and Furness,-1.0018206,4.20723,-3.97625,-4.7654123,-1.4978664,3.2887056,0.9215987,0.65127444,0.88821244,0.7431641
E14001077,Basildon and Billericay,0.60533667,10.599063,-3.132865,-1.7771881,-7.1768255,2.098592,2.3698578,0.8911629,1.0113049,0.7544861
E14001078,Basingstoke,0.5260408,8.048595,-1.3006728,-1.0075222,3.3768237,2.8930833,1.1965485,0.9863968,0.9794035,0.7584715
E14001079,Bassetlaw,-0.20241253,8.870161,11.093899,-2.820718,0.6127468,0.7316656,1.9001298,0.83668804,1.1764233,0.75272846
E14001080,Bath,3.330903,7.4631147,5.6983824,-2.205723,-4.7634935,0.16377135,1.1353836,0.985899,0.70110226,0.7546711
E14001081,Battersea,8.737862,9.995041,-0.69091016,-2.8330176,-8.9995775,2.6782105,2.2188148,0.9055519,1.0616999,0.76114464
E14001082,Beaconsfield,11.280224,8.667226,1.565907,-2.9324746,2.5809648,0.27516168,1.7874842,0.9375181,1.1425214,0.76060295
E14001083,Beckenham and Penge,5.403718,10.128312,-0.2817704,-2.5151255,-4.34311,2.467931,2.3610039,0.8864269,1.0457821,0.7603445
E14001084,Bedford,1.112772,9.693976,5.384262,-2.830883,8.426753,-1.768988,2.4866848,0.8545952,1.1062565,0.75379276
E14001085,Bermondsey and Old Southwark,5.403718,10.128312,-0.2817704,-2.5151255,-4.34311,2.467931,2.3610039,0.8864269,1.0457821,0.7603445
E14001086,Bethnal Green and Stepney,3.1795316,10.020408,-1.3573028,-2.1105087,-5.926055,2.881684,2.3041344,0.8914833,1.0387592,0.7584171
E14001087,Beverley and Holderness,-2.400349,7.9625793,8.86311,-2.388299,0.82869655,2.9231524,1.2616823,0.6866379,0.86394465,0.7449715
E14001088,Bexhill and Battle,11.174672,10.512978,7.6290374,-0.6142487,-4.0671086,4.8197384,1.7412866,0.8704141,0.9868987,0.75533104
E14001089,Bexleyheath and Crayford,2.8463502,10.4158535,0.19413337,-2.3647408,-5.0772433,2.5632765,2.4477196,0.90042305,1.0277767,0.7571707
E14001090,Bicester and Woodstock,7.6832747,8.702502,1.5075413,-2.6879835,1.3812069,0.42633858,2.0406966,0.91231155,1.0554937,0.7552965
E14001091,Birkenhead,6.1972494,8.848636,11.256261,-2.4843426,0.5318309,6.1361375,0.753809,0.7427101,0.66564655,0.7415514
E14001092,Birmingham Edgbaston,0.4950646,8.495418,5.173617,-4.5067177,7.3670106,-0.9885331,1.2513027,0.887228,0.76334286,0.75566864
E14001093,Birmingham Erdington,-1.2576765,9.076996,5.9524713,-4.0415382,7.254757,-1.0524918,1.7626953,0.88243294,0.8082304,0.7527561
E14001094,Birmingham Hall Green and Moseley,0.4950646,8.495418,5.173617,-4.5067177,7.3670106,-0.9885331,1.2513027,0.887228,0.76334286,0.75566864
E14001095,Birmingham Hodge Hill and Solihull North,0.26656017,8.726069,5.7940626,-4.4317074,7.944042,-1.3361487,1.6972656,0.90947723,0.8031149,0.75487995
E14001096,Birmingham Ladywood,0.4950646,8.495418,5.173617,-4.5067177,7.3670106,-0.9885331,1.2513027,0.887228,0.76334286,0.75566864
E14001097,Birmingham Northfield,0.4950646,8.495418,5.173617,-4.5067177,7.3670106,-0.9885331,1.2513027,0.887228,0.76334286,0.75566864
E14001098,Birmingham Perry Barr,-0.31852183,8.905696,5.521495,-4.604797,5.5278497,-1.0286521,1.4931965,0.8811493,0.7771673,0.75121593
E14001099,Birmingham Selly Oak,0.4950646,8.495418,5.173617,-4.5067177,7.3670106,-0.9885331,1.2513027,0.887228,0.76334286,0.75566864
E14001100,Birmingham Yardley,0.26656017,8.726069,5.7940626,-4.4317074,7.944042,-1.3361487,1.6972656,0.90947723,0.8031149,0.75487995
E14001101,Bishop Auckland,1.9477934,5.480813,1.5469185,-1.8911445,8.661987,1.7892025,1.1615269,0.6576096,0.91959155,0.76193
E14001102,Blackburn,13.58792,5.7072096,4.9833245,-4.995875,1.3202628,1.4317738,1.1313477,0.7394295,0.9021387,0.7448282
E14001103,Blackley and Middleton South,15.675253,4.996522,5.677306,-3.585171,3.5625796,0.35833842,1.3667316,0.73766136,0.8789444,0.7473974
E14001104,Blackpool North and Fleetwood,4.3127604,7.8463736,4.484418,-3.7808232,-0.34176692,1.4548274,0.7953434,0.64829636,0.7860279,0.7434807
E14001105,Blackpool South,4.312104,8.492656,4.485464,-4.041092,-0.34060973,1.4969131,0.79550743,0.72366905,0.7859955,0.7484598
E14001106,Blaydon and Consett,-9.208921,8.109363,7.4164696,-1.4400246,11.596309,3.6162906,0.8524418,0.6087036,0.86608315,0.748034
E14001107,Blyth and Ashington,-6.469419,7.960525,11.350984,-1.7135975,9.584009,1.0722461,0.27815628,0.53003883,0.87151337,0.7431631
E14001108,Bognor Regis and Littlehampton,12.487717,10.266027,5.4937286,-0.2776834,3.2582514,3.941356,1.572525,0.9152565,1.0159016,0.7603588
E14001109,Bolsover,-1.1850624,8.022074,13.083363,-3.3185794,1.3373648,0.29179403,1.7035809,0.8185425,1.064642,0.7555733
E14001110,Bolton North East,8.511068,4.3622932,0.38987124,-4.712467,-8.387108,0.47062162,1.1996098,0.7589569,0.90270805,0.7491379
E14001111,Bolton South and Walkden,8.511068,4.3622932,0.38987124,-4.712467,-8.387108,0.47062162,1.1996098,0.7589569,0.90270805,0.7491379
E14001112,Bolton West,9.658582,5.3476434,2.2988527,-5.106767,-4.2184796,1.0425183,1.1918945,0.7722931,0.8522377,0.74762154
E14001113,Bootle,7.8962846,7.624796,8.245913,-3.1706583,1.3131512,6.2417703,0.95905113,0.7888794,0.66785145,0.74180126
E14001114,Boston and Skegness,-1.5247738,8.90529,10.390766,-3.5540924,8.205214,0.8497817,1.7672486,0.73984975,1.0154377,0.7517444
E14001115,Bournemouth East,7.6493645,9.572492,7.5206666,0.97275025,-5.025052,4.086556,1.0250664,0.86447334,0.8246374,0.7566042
E14001116,Bournemouth West,7.0636606,9.239348,8.768874,0.654051,-4.209079,3.8185313,1.1098633,0.8312683,0.7902117,0.75113106
E14001117,Bracknell,-5.2747726,9.416067,-9.424043,-1.563246,0.0945437,0.98889697,1.6315746,0.9075241,0.98767567,0.75884056
E14001118,Bradford East,2.2707722,7.327954,5.8444104,-2.0147812,10.339933,2.1858199,1.7151031,0.7429638,0.9503517,0.7507057
E14001119,Bradford South,7.15687,6.960873,5.826473,-2.2556305,13.052109,1.9451399,1.4233398,0.7337494,0.96213436,0.7516084
E14001120,Bradford West,7.15687,6.960873,5.826473,-2.2556305,13.052109,1.9451399,1.4233398,0.7337494,0.96213436,0.7516084
E14001121,Braintree,3.270213,9.825434,5.9229736,-2.8567035,1.0060828,0.07845086,2.6100914,0.89480096,1.0579154,0.75551796
E14001122,Brent East,8.485678,9.673448,-0.8534898,-2.9478312,-8.008878,2.3661466,2.1934261,0.90774536,1.0605288,0.7609577
E14001123,Brent West,12.4075575,9.422693,1.7219715,-3.0570376,-5.764505,1.6825324,2.0960293,0.9173527,1.090373,0.759737
E14001124,Brentford and Isleworth,10.903439,9.806672,0.4983571,-2.283961,-8.78719,2.462483,2.1144218,0.90616035,1.088067,0.7595329
E14001125,Brentwood and Ongar,2.7745624,10.096573,0.65018827,-2.4086733,-4.6872215,2.361004,2.6225414,0.9548092,1.0311289,0.75459003
E14001126,Bridgwater,2.577892,9.132998,11.912235,-1.8401997,5.1742687,2.3291335,0.62644863,0.999115,0.5785632,0.7539406
E14001127,Bridlington and The Wolds,-2.7109895,7.5430512,7.3771544,-3.5324461,2.7236247,1.7468382,1.3443078,0.7022738,0.87037766,0.742733
E14001128,Brigg and Immingham,-2.433407,8.18791,10.465595,-3.217124,0.8355147,2.6755283,1.5277181,0.6703491,0.8942356,0.74287677
E14001129,Brighton Kemptown and Peacehaven,12.09999,10.524763,8.6853485,-2.236895,-2.1087914,3.8915536,1.5932293,0.84739685,1.0300512,0.7584019
E14001130,Brighton Pavilion,11.30111,10.6320305,9.423217,-1.2685004,-0.6196894,3.8640082,1.6174488,0.85505676,1.0282764,0.75805664
E14001131,Bristol Central,-0.5428326,8.1523485,0.826333,-1.3856615,-9.456746,1.0737648,0.87314606,0.9958172,0.57111645,0.7535286
E14001132,Bristol East,-0.5428326,8.1523485,0.826333,-1.3856615,-9.456746,1.0737648,0.87314606,0.9958172,0.57111645,0.7535286
E14001133,Bristol North East,-0.5428326,8.1523485,0.826333,-1.3856615,-9.456746,1.0737648,0.87314606,0.9958172,0.57111645,0.7535286
E14001134,Bristol North West,3.422429,8.874865,6.4880915,-1.549113,-0.58883715,1.4258934,0.57278633,0.91651726,0.50771904,0.7551575
E14001135,Bristol South,-0.5428326,8.1523485,0.826333,-1.3856615,-9.456746,1.0737648,0.87314606,0.9958172,0.57111645,0.7535286
E14001136,Broadland and Fakenham,7.977222,10.0601425,16.268667,-2.5438056,16.894691,0.46064168,1.0892253,0.75825,1.1165686,0.7554579
E14001137,Bromley and Biggin Hill,9.1168995,9.922065,2.6099336,-4.109918,-0.32245755,1.3936329,2.2834969,0.9473858,1.0506821,0.75863934
E14001138,Bromsgrove,-3.285937,8.41257,4.680803,-4.303149,6.2155066,-0.38540432,0.9754238,0.894722,0.7514162,0.75597
E14001139,Broxbourne,3.1882339,9.811413,1.6961304,-2.3979268,-2.3747103,1.7847098,2.4084644,0.87944794,1.0388823,0.755991
E14001140,Broxtowe,-6.083373,8.140398,10.336693,-4.834421,2.878948,-0.61715275,1.893261,0.8616905,0.9537945,0.75799274
E14001141,Buckingham and Bletchley,5.694997,9.567459,4.622653,-2.5299687,3.5267038,0.3502315,2.0968094,0.8776026,1.0949912,0.753314
E14001142,Burnley,16.617588,5.9418383,7.9402304,-3.4568324,12.777082,1.4844234,1.025032,0.72262,0.9859166,0.7477274
E14001143,Burton and Uttoxeter,-4.665169,8.262955,6.4102454,-5.1043243,3.486053,0.22190148,1.6463871,0.8415432,0.8594723,0.7529869
E14001144,Bury North,11.949272,4.349649,2.4746962,-4.111857,-3.0759807,-0.0016763618,1.2520828,0.7597389,0.8811321,0.74854565
E14001145,Bury South,11.949272,4.349649,2.4746962,-4.111857,-3.0759807,-0.0016763618,1.2520828,0.7597389,0.8811321,0.74854565
E14001146,Bury St Edmunds and Stowmarket,7.5810757,10.275335,20.144293,-3.0150177,8.554543,1.4407922,2.3076165,0.82695645,1.0685806,0.7550249
E14001147,Calder Valley,10.64175,6.189604,6.687546,-2.9358778,10.828863,1.7021364,1.3635659,0.7366605,0.97596955,0.74951994
E14001148,Camborne and Redruth,2.2886539,7.3985567,17.369505,-3.1843822,3.0561085,-0.031419694,0.47140217,0.86201096,0.6815028,0.71329117
E14001149,Cambridge,3.8033948,9.79245,6.863635,-3.0900354,2.8302383,-1.1912686,2.3983727,0.8841057,1.1798248,0.7544632
E14001150,Cannock Chase,-2.2210555,8.853327,6.2725825,-4.655816,4.278132,-0.44281948,1.543684,0.85528946,0.8055277,0.74998856
E14001151,Canterbury,6.822877,10.493986,3.7192178,1.0668416,-10.768725,7.1405573,2.1490402,0.8409376,0.99635696,0.7540407
E14001152,Carlisle,20.570204,4.2005615,15.38896,-3.7470388,19.017124,1.7905002,0.6633606,0.71671104,0.8142894,0.7487708
E14001153,Carshalton and Wallington,12.874788,9.828032,1.9765705,-3.2899241,-1.4403485,1.9718776,2.177702,0.9509163,1.058775,0.759285
E14001154,Castle Point,-3.1645174,10.789689,-4.1533513,-1.158927,-8.346787,3.1293695,2.2681313,0.8590908,0.99062157,0.752676
E14001155,Central Devon,11.074111,6.996835,24.56725,-1.7409501,11.50315,0.41558704,0.22961044,0.92209154,0.6790136,0.73732877
E14001156,Central Suffolk and North Ipswich,8.452351,10.157965,17.06648,-2.5412037,3.413741,0.6602918,1.9940271,0.7803049,1.0467498,0.75443363
E14001157,Chatham and Aylesford,2.1130006,10.11043,-2.0429585,-2.2519639,-7.681386,2.64715,2.4107094,0.98557854,1.0305691,0.75611115
E14001158,Cheadle,14.183943,6.2606463,5.836801,-5.49457,1.2714953,-0.5353813,1.3547535,0.7338257,0.7147722,0.73982906
E14001159,Chelmsford,3.425866,10.354777,-0.90505385,-2.2703266,-7.907531,1.8113858,2.453745,0.93165016,1.0087242,0.7544899
E14001160,Chelsea and Fulham,8.737862,9.995041,-0.69091016,-2.8330176,-8.9995775,2.6782105,2.2188148,0.9055519,1.0616999,0.76114464
E14001161,Cheltenham,1.8490467,9.363949,6.167026,-2.510378,9.063638,1.1029009,1.5118484,0.95433044,0.8416662,0.7519522
E14001162,Chesham and Amersham,12.490795,8.500146,5.6770563,-3.0443976,4.35583,0.11317958,1.8057938,0.90937996,1.1224976,0.75732803
E14001163,Chester North and Neston,3.6719208,8.411428,12.344554,-2.8492033,-1.3936749,3.2841,0.91171837,0.8013897,0.6465473,0.7465534
E14001164,Chester South and Eddisbury,3.2737415,8.917449,8.074083,-4.113057,-1.1787331,2.1759076,1.1844403,0.8006077,0.6960901,0.7458603
E14001165,Chesterfield,-2.128292,7.3952556,12.679073,-3.5750978,2.158858,0.4750024,1.6363277,0.80107117,0.9829416,0.75562096
E14001166,Chichester,13.443656,9.206573,7.485588,0.27032486,6.531558,2.4632337,1.0972409,0.87510633,1.005249,0.75979614
E14001167,Chingford and Woodford Green,0.3380348,10.147084,-0.7710945,-1.814194,-4.381457,3.3255205,2.4181328,0.90006065,1.0286427,0.75687695
E14001168,Chippenham,5.736947,7.589202,7.5709724,-1.8028507,0.3422104,0.08480057,1.3457351,0.97966814,0.87733793,0.7553797
E14001169,Chipping Barnet,6.5412683,9.639817,4.172459,-2.609798,-1.4233673,1.8932557,2.190527,0.88988304,1.0489454,0.75628567
E14001170,Chorley,13.58792,5.7072096,4.9833245,-4.995875,1.3202628,1.4317738,1.1313477,0.7394295,0.9021387,0.7448282
E14001171,Christchurch,7.6241283,8.018448,7.6762333,-0.49812382,-2.9776385,3.2511673,1.0233383,0.8629894,0.8461685,0.7549124
E14001172,Cities of London and Westminster,3.1795316,10.020408,-1.3573028,-2.1105087,-5.926055,2.881684,2.3041344,0.8914833,1.0387592,0.7584171
E14001173,City of Durham,-5.7727413,8.155516,5.6922517,-2.4822178,3.7314787,1.9279546,1.2726078,0.5940237,0.8687477,0.751457
E14001174,Clacton,4.4800444,10.808514,11.9463415,-0.37597287,3.4279506,2.3602026,1.7379227,0.7968674,0.9112263,0.758585
E14001175,Clapham and Brixton Hill,8.737862,9.995041,-0.69091016,-2.8330176,-8.9995775,2.6782105,2.2188148,0.9055519,1.0616999,0.76114464
E14001176,Colchester,5.361132,10.274636,12.693512,-2.4732125,2.0910242,0.41163802,1.7356129,0.81890106,0.9130621,0.7536268
E14001177,Colne Valley,7.2069182,5.765769,6.1452756,-3.6211696,5.5075855,0.26321825,1.6314611,0.7169943,0.9952376,0.74966836
E14001178,Congleton,7.720817,7.1135187,4.3144674,-4.9563704,1.5686995,0.24565479,1.26787,0.756279,0.7096071,0.7376137
E14001179,Corby and East Northamptonshire,1.2266632,10.088518,8.587523,-4.0401,18.948484,-1.0606253,2.4289217,0.88588095,1.1191471,0.7574065
E14001180,Coventry East,0.6368982,9.616956,6.655675,-4.161284,5.8522434,-0.97704494,2.1355457,0.8964939,1.00492,0.7515888
E14001181,Coventry North West,1.5422052,9.40193,6.2499304,-4.3243775,7.9916983,-1.0814189,2.0694332,0.9004822,0.9563236,0.75296974
E14001182,Coventry South,1.5422052,9.40193,6.2499304,-4.3243775,7.9916983,-1.0814189,2.0694332,0.9004822,0.9563236,0.75296974
E14001183,Cramlington and Killingworth,-8.420944,8.194841,11.834589,-1.6666945,14.706192,2.5204108,0.43312168,0.50042915,0.87123585,0.74247694
E14001184,Crawley,14.801682,9.544817,6.371289,-2.691719,2.748154,2.6052527,1.4887695,0.96435165,1.0311193,0.7586489
E14001185,Crewe and Nantwich,3.2057219,8.534474,5.473863,-4.251438,3.1844027,2.2472675,1.3455715,0.7843628,0.7391987,0.7407532
E14001186,Croydon East,12.089313,9.90899,3.455086,-3.812486,2.3788416,1.4065511,2.2190113,0.94906425,1.0546732,0.75942326
E14001187,Croydon South,12.089313,9.90899,3.455086,-3.812486,2.3788416,1.4065511,2.2190113,0.94906425,1.0546732,0.75942326
E14001188,Croydon West,5.403718,10.128312,-0.2817704,-2.5151255,-4.34311,2.467931,2.3610039,0.8864269,1.0457821,0.7603445
E14001189,Dagenham and Rainham,1.0086956,10.271554,-0.3986637,-1.8691242,-4.7089243,3.3482683,2.4331703,0.9133949,1.0254679,0.7560911
E14001190,Darlington,-5.361769,8.588279,3.0205462,-2.2437267,3.3795967,2.1499047,1.391098,0.6887331,0.8749542,0.7566459
E14001191,Dartford,2.2266948,10.518576,-0.41252887,-2.1079638,-5.5762186,2.5960927,2.4502268,0.9015379,1.0248895,0.75655556
E14001192,Daventry,2.4357743,9.324508,4.2978425,-3.3675847,6.954545,-0.47841677,2.3093238,0.88220596,1.0956085,0.75242454
E14001193,Derby North,-5.895375,7.875868,9.288904,-4.919738,2.4722133,-0.46673134,1.8040047,0.8534012,0.9238348,0.75800705
E14001194,Derby South,-5.895375,7.875868,9.288904,-4.919738,2.4722133,-0.46673134,1.8040047,0.8534012,0.9238348,0.75800705
E14001195,Derbyshire Dales,-0.86423963,6.272312,8.659601,-4.0769234,3.721016,0.66451,1.5929527,0.7856555,0.92270964,0.7549294
E14001196,Dewsbury and Batley,-0.7734346,7.7706532,6.1855173,-1.8219001,6.94397,0.49330574,1.688509,0.7460785,0.9380894,0.75069714
E14001197,Didcot and Wantage,5.399846,8.623721,-1.3447508,-2.3841689,-0.5517266,0.43035594,1.7456181,0.93479043,1.1607777,0.7577019
E14001198,Doncaster Central,0.054520547,8.79091,10.176738,-2.6009436,-0.32460794,0.4588319,1.8095812,0.8144417,1.0931892,0.7515561
E14001199,Doncaster East and the Isle of Axholme,-1.4969426,8.643517,8.802011,-2.843896,0.8456442,2.652022,1.6099768,0.793293,1.0402942,0.7488718
E14001200,Doncaster North,-2.621292,8.712042,9.836848,-2.3463745,4.5303,0.7245853,1.9896812,0.7922964,1.0129905,0.7508793
E14001201,Dorking and Horley,13.845127,9.550103,3.983334,-2.516963,1.1703943,1.7766254,1.7914705,0.95483685,1.0426745,0.7587943
E14001202,Dover and Deal,14.774902,10.3955965,8.545008,0.9325149,-6.6726465,6.1192513,2.1397142,0.83904743,0.99056816,0.7582116
E14001203,Droitwich and Evesham,-5.51066,9.034406,4.6627965,-3.249702,7.0393887,-0.047082797,1.1109037,0.91547585,0.7514081,0.7553539
E14001204,Dudley,-0.9446555,9.2937,6.434267,-4.605049,3.155395,-0.37898043,1.2642593,0.9025345,0.7512388,0.75078297
E14001205,Dulwich and West Norwood,5.403718,10.128312,-0.2817704,-2.5151255,-4.34311,2.467931,2.3610039,0.8864269,1.0457821,0.7603445
E14001206,Dunstable and Leighton Buzzard,4.7327642,9.457362,6.041937,-2.8746214,4.123774,-1.1104479,2.198925,0.878109,1.0861425,0.7530613
E14001207,Ealing Central and Acton,12.4075575,9.422693,1.7219715,-3.0570376,-5.764505,1.6825324,2.0960293,0.9173527,1.090373,0.759737
E14001208,Ealing North,12.4075575,9.422693,1.7219715,-3.0570376,-5.764505,1.6825324,2.0960293,0.9173527,1.090373,0.759737
E14001209,Ealing Southall,12.4075575,9.422693,1.7219715,-3.0570376,-5.764505,1.6825324,2.0960293,0.9173527,1.090373,0.759737
E14001210,Earley and Woodley,-4.232787,9.047502,-8.335784,-1.8505696,5.334961,-0.56249255,1.7286472,0.92220306,1.1091852,0.7603121
E14001211,Easington,-8.9080715,8.376515,6.754833,-2.1295319,4.4058447,0.28082713,1.0758152,0.5921974,0.88251495,0.7530041
E14001212,East Grinstead and Uckfield,14.013088,9.599911,7.115902,-2.5888064,1.2345318,2.708517,1.5511183,0.9465542,1.0297827,0.7582998
E14001213,East Ham,0.3380348,10.147084,-0.7710945,-1.814194,-4.381457,3.3255205,2.4181328,0.90006065,1.0286427,0.75687695
E14001214,East Hampshire,0.18310897,8.173945,-3.2518415,-0.5823879,-3.3943489,2.0438094,1.1869243,0.9591255,0.9409936,0.7585888
E14001215,East Surrey,12.829763,9.695829,4.312898,-3.3224816,2.3727036,1.1574585,1.9436855,0.9539366,1.0485926,0.75919056
E14001216,East Thanet,15.883724,10.565155,8.047067,3.3570096,-11.924347,7.0297637,2.2295265,0.7504425,0.9665098,0.77122116
E14001217,East Wiltshire,4.799835,7.5587335,5.7390018,-1.9650023,1.6844672,1.0751662,1.5566881,0.9879129,1.1131766,0.7565046
E14001218,East Worthing and Shoreham,10.6792555,10.931947,8.720055,-0.4274454,1.0465045,4.1427054,1.5976562,0.89826965,1.0217123,0.76161766
E14001219,Eastbourne,12.538841,10.622363,8.11716,-0.56473815,-5.1440787,4.0644455,1.6123371,0.8333454,1.0141373,0.7535095
E14001220,Eastleigh,10.381987,7.745634,6.7322426,-0.44203475,2.8869767,2.2347887,1.1081066,0.91607285,0.8060217,0.75797176
E14001221,Edmonton and Winchmore Hill,3.1882339,9.811413,1.6961304,-2.3979268,-2.3747103,1.7847098,2.4084644,0.87944794,1.0388823,0.755991
E14001222,Ellesmere Port and Bromborough,5.189767,8.528173,10.662589,-2.6844888,0.22401789,6.786521,0.82308006,0.73454475,0.63893414,0.744092
E14001223,Eltham and Chislehurst,4.023173,10.204294,0.50000113,-2.5547433,-2.8819804,1.7114466,2.447918,0.89356804,1.039465,0.7585068
E14001224,Ely and East Cambridgeshire,6.115209,10.040235,9.920059,-2.8502958,6.5001493,-0.14230268,2.4265728,0.8360405,1.1587046,0.7546275
